word,weight,,
credits,0,,
cross,0.5,,
crowd,0.42857142857142855,,
crucial,0,,
crutcher,0.5,,
cynicism,0.2,,
dad,0.42857142857142855,,
dade,0.5,,
dallas,0,,
danger,0,,
dangerous,0,,
dare,0.5,,
dare,0.5,,
dark,0.5,,
daughter,0.5,,
daughters,0.6,,
david,0.5,,
day,0.38181818181818183,,
days,0.5111111111111111,,
dear,0.5,,
debate,0.25,,
debates,0.5,,
debbie,0.5,,
debts,0.5,,
decent,0.2,,
decide,0.42857142857142855,,
decisions,0.14285714285714285,,
decrease,0,,
deeply,0.5,,
delighted,0.6,,
delivers,0.5,,
demands,0,,
democratic,0.6,,
democrats,0.5,,
demonstrate,0.5,,
denied,0.25,,
depression,0,,
described,0,,
deserve,0.29411764705882354,,
deserved,0.5,,
deserves,0.6666666666666666,,
destiny,0.5,,
detail,0.5,,
details,0.6,,
determined,0,,
developed,0,,
did,0.6666666666666666,,
didn,0,,
didn’t,0.8181818181818182,,
die,0.25,,
difference,0.6363636363636364,,
differences,0.6,,
different,0.4,,
difficult,0.2,,
dignify,0.5,,
dignity,0.23076923076923078,,
dinner,0.5,,
disabilities,0.9428571428571428,,
disability,0.8461538461538461,,
discouraging,0.5,,
discrimination,0.6666666666666666,,
disposable,0.6,,
distinguished,0.5,,
distracted,0.6,,
diverse,0.5,,
diversity,0.6,,
divide,0.2,,
divided,0.2,,
divides,0.5,,
divisive,0.7777777777777778,,
do,0.5853658536585366,,
does,0.46153846153846156,,
doesn’t,0.8947368421052632,,
doing,0.41935483870967744,,
domestic,0.2,,
don’t,0.7560975609756098,,
donald,0.7567567567567568,,
donald’s,0.5,,
done,0.2777777777777778,,
donna,0.5,,
door,0.7647058823529411,,
doors,0.6,,
dorothy,0.5,,
doubt,0.5,,
down,0.19148936170212766,,
dozens,0.5,,
dr,0.5,,
draperies,0.5,,
dream,0.2,,
dreams,0.42857142857142855,,
dress,0.5,,
drive,0.45454545454545453,,
dropping,0,,
due,0,,
during,0.7777777777777778,,
dying,0,,
e,0.2,,
each,0.8048780487804879,,
earlier,0.6666666666666666,,
early,0.7142857142857143,,
earn,0.6,,
earth,0.2,,
easier,0.6666666666666666,,
eat,0.6666666666666666,,
economy,0.6,,
edelman,0.5,,
education,0.3076923076923077,,
effort,0,,
efforts,0.2,,
eileen,0.6,,
either,0.7142857142857143,,
elect,0,,
elected,0.25,,
electing,0,,
election,0.6296296296296297,,
else,0.17647058823529413,,
embraced,0,,
employees,0,,
employers,0.5,,
empower,0.5,,
encounters,0.5,,
encourage,0.2,,
encouraged,0.5,,
ended,0.2,,
enduring,0.5,,
enemies,0,,
engage,0,,
enhance,0,,
enjoy,0.5,,
enough,0.5789473684210527,,
entire,0.07692307692307693,,
entrepreneurs,0.6666666666666666,,
environment,0,,
epidemic,0.7142857142857143,,
equal,0.45454545454545453,,
equality,0.7777777777777778,,
erica,0.6,,
especially,0.2631578947368421,,
essential,0.5,,
estimated,0.5,,
ethic,0,,
even,0.288135593220339,,
every,0.08396946564885496,,
everybody,0.36,,
everyone,0.6363636363636364,,
everyone’s,0.5,,
everything,0.52,,
everywhere,0,,
exact,0,,
example,0.5,,
examples,0.6666666666666666,,
exceptional,0.14285714285714285,,
excited,0.75,,
excuses,0,,
exist,0,,
exists,0,,
explain,0.5,,
exploit,0,,
expose,0,,
extra,0.6,,
extraordinary,0.6666666666666666,,
eyes,0.7142857142857143,,
fabric,0.5,,
face,0.42857142857142855,,
faced,0.2,,
faces,0,,
facilities,0,,
facing,0.14285714285714285,,
fails,0,,
failure,0,,
fair,0.09090909090909091,,
fairer,0.6666666666666666,,
fairness,0.2,,
faith,0.8461538461538461,,
fall,0.7142857142857143,,
falling,0,,
families,0.36507936507936506,,
family,0.6,,
far,0,,
farmers,0,,
fate,0,,
father,0.5,,
fathers,0.42857142857142855,,
fear,0.6363636363636364,,
fears,0.2,,
feel,0.8823529411764706,,
feels,0.6,,
fellow,0.14285714285714285,,
felt,0.6,,
few,0.6842105263157895,,
fierce,0.6,,
fight,0.4666666666666667,,
fighting,0.21739130434782608,,
fights,0.5,,
figure,0.5555555555555556,,
filled,0.5,,
finally,0.1111111111111111,,
find,0.7272727272727273,,
finding,0.5,,
finish,0.5,,
firing,0,,
first,0.10843373493975904,,
fit,0,,
flames,0,,
flint,0.25,,
flourish,0,,
focus,0.09090909090909091,,
focused,0.25,,
focusing,0.2,,
follow,0.2727272727272727,,
food,0.25,,
football,0.5,,
for,0.1281198003327787,,
forces,0.6363636363636364,,
forgetting,0.5,,
forgive,0,,
formal,0.5,,
fort,0,,
fought,0.5,,
found,0,,
founded,0.42857142857142855,,
founders,0.75,,
four,0.16666666666666666,,
freedom,0.14285714285714285,,
freer,0.5,,
freia,0.7777777777777778,,
friend,0.6363636363636364,,
friends,0.8461538461538461,,
friendship,0.2,,
front,0.7142857142857143,,
fulfill,0.5,,
full,0.16666666666666666,,
fun,0.2,,
fund,0.6666666666666666,,
fundamental,0,,
future,0.5,,
futures,0,,
gabby,0.75,,
game,0.6666666666666666,,
gap,0.5,,
gathered,0.6666666666666666,,
generals,0.5,,
generation,0.75,,
generations,0.6363636363636364,,
generosity,0,,
generous,0.5,,
gentleman,0.5,,
george,0.5,,
get,0.3435114503816794,,
gets,0.8461538461538461,,
girl,0.6842105263157895,,
girls,0.8333333333333334,,
give,0.5789473684210527,,
given,0.07692307692307693,,
gives,0,,
glad,0.2,,
go,0.2972972972972973,,
goal,0.07692307692307693,,
god,0.2,,
god’s,0.5,,
goes,0.4,,
gold,0.5,,
gone,0.1111111111111111,,
good,0.625,,
gosh,0.5,,
got,0.6727272727272727,,
governor,0,,
grace,0.6666666666666666,,
grade,0.2,,
graduation,0.5,,
grandchildren,0.8571428571428571,,
granddaughter,0.6666666666666666,,
grandfather,0.5,,
grandkids,0.6,,
grandmother,0.6,,
grandmothers,0.5,,
grandparents,0.5,,
grandson,0.5,,
grateful,0.8181818181818182,,
gravely,0,,
greater,0.7142857142857143,,
grew,0,,
gridlock,0.5,,
group,0.1111111111111111,,
grow,0.06666666666666667,,
growing,0.14285714285714285,,
grown,0.5,,
guarantee,0,,
guess,0.5,,
guiding,0.5,,
gun,0.9166666666666666,,
guns,0.7647058823529411,,
gwen,0.5,,
had,0.5454545454545454,,
half,0.4,,
hall,0.6,,
hamilton,0.5,,
hand,0,,
handle,0.6666666666666666,,
handling,0,,
hands,0.75,,
happens,0.25,,
happy,0.6666666666666666,,
harbor,0,,
hard,0.5454545454545454,,
harder,0.4,,
hardest,0,,
hasn’t,0.2,,
hate,0.8571428571428571,,
hateful,0.2,,
hatred,0,,
have,0.022443890274314215,,
haven,0.2,,
haven’t,0.5,,
having,0.2727272727272727,,
he,0.559322033898305,,
he’s,0.9090909090909091,,
heal,0.5,,
health,0.4782608695652174,,
healthier,0.5,,
healthy,0.5,,
hear,0.4166666666666667,,
heard,0.4482758620689655,,
hearing,0,,
heart,0.7391304347826086,,
hearted,0.5,,
hearts,0.42857142857142855,,
held,0.2,,
hello,0,,
help,0.6470588235294118,,
helped,0.5,,
helping,0.42857142857142855,,
helps,0.5,,
her,0.08771929824561403,,
here,0.6344086021505376,,
here’s,0.7333333333333333,,
hey,0.6,,
hide,0.2,,
high,0.2,,
higher,0,,
hillaryclinton,0.6666666666666666,,
him,0.7297297297297297,,
himself,0.6666666666666666,,
hire,0,,
hired,0.6,,
his,0.4520547945205479,,
history,0.3,,
hit,0,,
home,0.12195121951219512,,
honor,0.125,,
honored,0.2,,
honorees,0.5,,
hook,0.2,,
hope,0.6,,
hoped,0.5,,
hopeful,0.5,,
horse,0,,
hours,0.42857142857142855,,
house,0.3793103448275862,,
household,0,,
housemaid,0.6,,
how,0.7011494252873564,,
huge,0.5,,
human,0.42857142857142855,,
humanity,0.5,,
husband,0.2,,
i,0.8333333333333334,,
i,0.5049226441631505,,
i’d,0.6,,
i’ll,0.7777777777777778,,
i’m,0.6,,
i’ve,0.7714285714285715,,
idea,0.14285714285714285,,
ideas,0.8181818181818182,,
if,0.20279720279720279,,
ii,0,,
imagine,0.6190476190476191,,
impact,0.25,,
important,0.16666666666666666,,
impossible,0,,
imprisoned,0.5,,
in,0.1198044009779951,,
inaudible,0.5,,
incidents,0.5,,
included,0,,
inclusive,0.8,,
independent,0.2,,
independents,0.6666666666666666,,
indiana,0,,
inequality,0.5,,
injustice,0,,
innovation,0,,
