word,weight,
cancel,0.8888888888888888,
spilling,0.3333333333333333,
fifty,0.5,
costing,0.3333333333333333,
clinton,0.9534883720930233,
oversee,0.3333333333333333,
outcomes,0.3333333333333333,
endorses,0.3333333333333333,
ten,0.5,
energy,0.5,
incomes,0.1111111111111111,
successfully,0.5,
spreading,0.3333333333333333,
investment,0.1111111111111111,
compassionate,0.5,
endorsed,0.3333333333333333,
latino,0.14285714285714285,
triple,0.2,
newspaper,0.3333333333333333,
poorly,0.3333333333333333,
concede,0.3333333333333333,
result,0.7142857142857143,
rebuilt,0.6,
hikes,0.6666666666666666,
commission,0.2,
after,0.02040816326530612,
connect,0.3333333333333333,
policy,0.5555555555555556,
rebuild,0.8787878787878788,
ordered,0.5,
address,0.42857142857142855,
hillary’s,0.8181818181818182,
standard”,0.3333333333333333,
violating,0.3333333333333333,
blood,0.3333333333333333,
the,0.09906542056074766,
entering,0.6,
halt,0.3333333333333333,
destroyed,0.8,
sale,0.8461538461538461,
unfunded,0.3333333333333333,
sunset,0.3333333333333333,
obvious,0.5,
fifth,0.7142857142857143,
information,0.8181818181818182,
straining,0.3333333333333333,
november,0.3333333333333333,
violent,0.6666666666666666,
reopened,0.6,
powered,0.2,
suffered,0.2,
implement,0.3333333333333333,
8th,0.5,
mines,0.3333333333333333,
supposed,0.3333333333333333,
reopening,0.6,
beleive,0.3333333333333333,
90’s,0.3333333333333333,
society,0.1111111111111111,
expanded,0.7142857142857143,
flows,0.3333333333333333,
root,0.5,
citizen’s,0.3333333333333333,
assaults,0.3333333333333333,
pilot,0.3333333333333333,
caliber,0.3333333333333333,
multiple,0.5,
magnet,0.6,
lawmaking,0.3333333333333333,
shielding,0.5,
taking,0.2,
block,0.5,
flow,0.5,
order,0.7058823529411765,
protecting,0.5555555555555556,
custody,0.2,
propose,0.3333333333333333,
reform,0.3793103448275862,
cooperating,0.3333333333333333,
schools,0.17647058823529413,
save,0.631578947368421,
protection,0.3333333333333333,
amnesties,0.3333333333333333,
mandatory,0.5,
frankly,0.14285714285714285,
top,0.047619047619047616,
honesty,0.8,
product,0.3333333333333333,
drugs,0.6666666666666666,
reinvest,0.3333333333333333,
produce,0.5,
cheat,0.75,
justices,0.84,
tpp,0.7777777777777778,
regard,0.3333333333333333,
fuel,0.3333333333333333,
smuggling,0.3333333333333333,
homicide,0.6,
employed,0.3333333333333333,
biggest,0.6,
owns,0.3333333333333333,
disapproved,0.3333333333333333,
biometric,0.5,
las,0.2,
circumstances,0.6,
law,0.5945945945945946,
including,0.3939393939393939,
introducing,0.5,
less,0.06666666666666667,
institutions,0.5,
condition,0.3333333333333333,
violation,0.5,
taxation,0.5,
formerr,0.6,
tsa,0.3333333333333333,
arizona,0.8333333333333334,
effective,0.3333333333333333,
times,0.1,
detrimental,0.5,
direction,0.6,
wounded,0.3333333333333333,
ideological,0.3333333333333333,
opening,0.3333333333333333,
doctor,0.6,
redirects,0.3333333333333333,
stable,0.5,
lining,0.3333333333333333,
caught,0.3333333333333333,
exceeds,0.3333333333333333,
concern,0.3333333333333333,
state,0.2459016393442623,
quagmire,0.3333333333333333,
press,0.5,
worker,0.6666666666666666,
defined,0.3333333333333333,
neighborhoods,0.5,
environmental,0.3333333333333333,
pace,0.3333333333333333,
opposite,0.2,
items,0.3333333333333333,
thirty,0.3333333333333333,
cut,0.9487179487179487,
probably,0.3333333333333333,
revelations,0.6666666666666666,
jurisdiction,0.3333333333333333,
constitutional,0.6,
killing,0.7894736842105263,
resettled,0.3333333333333333,
dollars,0.8823529411764706,
two,0.037037037037037035,
renegotiating,0.6,
attack,0.25,
reported,0.6,
graphic,0.3333333333333333,
creation,0.3333333333333333,
immigrants,0.6774193548387096,
legislation,0.6,
inclination,0.3333333333333333,
occurred,0.3333333333333333,
donating,0.5,
replaced,0.3333333333333333,
libya,0.7142857142857143,
admitting,0.5,
watch,0.5,
detained,0.5,
medical,0.5,
principle,0.14285714285714285,
importantly,0.42857142857142855,
anne,0.3333333333333333,
strivers,0.3333333333333333,
uncontrolled,0.5,
holidays,0.3333333333333333,
borrower’s,0.3333333333333333,
budget,0.7142857142857143,
involves,0.3333333333333333,
eric,0.3333333333333333,
trojan,0.3333333333333333,
merit,0.5,
develop,0.3333333333333333,
technologies,0.5,
exposing,0.3333333333333333,
cronyism,0.5,
overall,0.3333333333333333,
fixed,0.5,
page,0.3333333333333333,
reentry,0.5,
memory,0.3333333333333333,
aspects,0.5,
disaster,0.5714285714285714,
center,0.2727272727272727,
purchase,0.3333333333333333,
stars,0.3333333333333333,
manage,0.3333333333333333,
1965,0.3333333333333333,
reducing,0.5,
finance,0.6666666666666666,
measured,0.3333333333333333,
attitudes,0.5,
three,0.30434782608695654,
required,0.5,
enter,0.2,
savings,0.6,
deputy,0.5,
warmth,0.3333333333333333,
durden,0.3333333333333333,
destroy,0.7142857142857143,
roads,0.6,
dates,0.3333333333333333,
priority,0.09090909090909091,
railways,0.3333333333333333,
pennsylvania,0.5555555555555556,
judicial,0.3333333333333333,
coast,0.3333333333333333,
provide,0.8,
